landmark_id,name,pixel_x,pixel_y,normalized_x,normalized_y
1,l_brow_left,380,646,0.3151,0.4065
2,l_brow_mid,452,626,0.3748,0.394
3,l_brow_right,526,640,0.4362,0.4028
4,r_brow_left,666,642,0.5522,0.404
5,r_brow_mid,738,628,0.6119,0.3952
6,r_brow_right,806,646,0.6683,0.4065
7,l_eye_left,415,705,0.3441,0.4437
8,l_eye_mid,467,703,0.3872,0.4424
9,l_eye_right,515,708,0.427,0.4456
10,r_eye_left,670,709,0.5556,0.4462
11,r_eye_mid,719,706,0.5962,0.4443
12,r_eye_right,770,708,0.6385,0.4456
13,l_ear,324,888,0.2687,0.5588
14,nose_left,531,853,0.4403,0.5368
15,nose_mid,609,839,0.505,0.528
16,nose_right,654,858,0.5423,0.54
17,r_ear,858,896,0.7114,0.5639
18,mouth_left,502,965,0.4163,0.6073
19,mouth_mid,602,960,0.4992,0.6042
20,mouth_right,685,963,0.568,0.606
21,chin,601,1121,0.4983,0.7055
