landmark_id,name,pixel_x,pixel_y,normalized_x,normalized_y
1,l_brow_left,72,116,0.32,0.3867
2,l_brow_mid,86,111,0.3822,0.37
3,l_brow_right,101,112,0.4489,0.3733
4,r_brow_left,129,111,0.5733,0.37
5,r_brow_mid,143,108,0.6356,0.36
6,r_brow_right,158,113,0.7022,0.3767
7,l_eye_left,80,128,0.3556,0.4267
8,l_eye_mid,90,126,0.4,0.42
9,l_eye_right,100,127,0.4444,0.4233
10,r_eye_left,131,125,0.5822,0.4167
11,r_eye_mid,141,125,0.6267,0.4167
12,r_eye_right,151,125,0.6711,0.4167
13,l_ear,63,172,0.28,0.5733
14,nose_left,104,154,0.4622,0.5133
15,nose_mid,118,149,0.5244,0.4967
16,nose_right,128,154,0.5689,0.5133
17,r_ear,170,170,0.7556,0.5667
18,mouth_left,100,178,0.4444,0.5933
19,mouth_mid,119,175,0.5289,0.5833
20,mouth_right,136,176,0.6044,0.5867
21,chin,121,209,0.5378,0.6967
